time,split,epoch,step,metric,value
1759784052.656,train,36,4234,ctc_loss,0.2205299437046051
1759784055.068,train,36,4235,ctc_loss,0.2055145502090454
1759784057.171,train,36,4236,ctc_loss,0.22098422050476074
1759784059.518,train,36,4237,ctc_loss,0.20388548076152802
1759784061.545,train,36,4238,ctc_loss,0.2292765974998474
1759784063.624,train,36,4239,ctc_loss,0.20673930644989014
1759784065.689,train,36,4240,ctc_loss,0.2228717803955078
1759784067.646,train,36,4241,ctc_loss,0.2080450803041458
1759784069.797,train,36,4242,ctc_loss,0.20386160910129547
1759784071.936,train,36,4243,ctc_loss,0.2133367657661438
1759784073.886,train,36,4244,ctc_loss,0.21854768693447113
1759784075.851,train,36,4245,ctc_loss,0.19414271414279938
1759784077.794,train,36,4246,ctc_loss,0.19940856099128723
1759784079.751,train,36,4247,ctc_loss,0.19616705179214478
